coachID,tmID,target_year,wins,losses,win_pct,post_wins,made_playoffs,conf_rank,win_improvement,playoff_improvement,career_win_pct,career_playoff_wins,years_coaching,won_coty_before,won_coach_of_the_year
adubari99w,NYL,2,21,11,0.65625,3,1,2.0,0.03125,0,0.6249804693603326,4,1,0,0
aglerbr99w,MIN,2,12,20,0.375,0,0,6.0,-0.09375,-1,0.4687353520202494,0,1,0,0
allenso99w,SAC,2,6,6,0.5,0,0,2.0,-0.15625,-1,0.6562294928283492,0,1,0,0
chancva99w,HOU,2,19,13,0.59375,0,1,3.5,-0.25,0,0.843723633636449,6,1,0,0
coopecy01w,PHO,2,13,19,0.40625,0,0,5.0,-0.21875,-1,0.5,0,0,0,0
coopemi01w,LAS,2,28,4,0.875,6,1,1.0,0.0,0,0.8749726571044656,2,1,1,0
donovan99w,CHA,2,18,14,0.5625,4,1,4.0,0.3125,0,0.2812412112121496,0,1,0,0
dunnli99wc,SEA,2,10,22,0.3125,0,0,8.0,0.125,-1,0.18749414080809976,0,1,0,0
fortnne99w,IND,2,10,22,0.3125,0,0,7.0,0.03125,-1,0.5,0,0,0,0
hargrli99w,POR,2,11,21,0.34375,0,0,7.0,0.03125,-1,0.3124902346801663,0,1,0,0
harveca99w,UTA,2,14,5,0.7368421052631579,0,1,3.5,0.17434210526315785,0,0.5,0,0,0,0
hugheda99w,CLE,2,22,10,0.6875,1,1,1.0,0.15625,0,0.5312333989562826,3,1,0,1
maherto99w,WAS,2,10,22,0.3125,0,0,7.0,-0.125,-1,0.5,0,0,0,0
mchugma99w,SAC,2,14,6,0.7,3,1,2.0,0.043749999999999956,0,0.5,0,0,0,0
peckca99wc,ORL,2,13,19,0.40625,0,0,5.0,-0.09375,-1,0.499984375488266,1,1,0,0
rothsro99w,MIA,2,20,12,0.625,1,1,3.0,0.21875,0,0.4062373050842161,0,1,0,0
willifr99w,UTA,2,5,8,0.38461538461538464,0,0,3.5,-0.17788461538461536,-1,0.5624824224242992,0,1,0,0
willigr99w,DET,2,10,22,0.3125,0,0,7.0,-0.125,-1,0.5,0,0,0,0
adubari99w,NYL,3,18,14,0.5625,4,1,1.5,-0.09375,0,0.6406149903907751,7,2,0,0
aglerbr99w,MIN,3,6,13,0.3157894736842105,0,0,8.0,-0.05921052631578949,-1,0.4218684083061202,0,2,0,0
brownde01w,ORL,3,16,16,0.5,0,0,4.5,0.09375,-1,0.5,0,0,0,0
chancva99w,HOU,3,24,8,0.75,1,1,2.0,0.15625,0,0.7187387697067232,6,2,0,0
coopecy01w,PHO,3,6,4,0.6,0,0,7.0,0.19374999999999998,-1,0.4062373050842161,0,1,0,0
coopemi01w,LAS,3,25,7,0.78125,6,1,1.0,-0.09375,0,0.8749863283386197,8,2,1,0
donovan99w,CHA,3,18,14,0.5625,0,1,1.5,0.0,0,0.4218684083061202,4,2,0,0
dunnli99wc,SEA,3,17,15,0.53125,0,1,4.0,0.21875,0,0.2499960938110342,0,2,0,0
fortnne99w,IND,3,16,16,0.5,1,1,4.5,0.1875,0,0.3124902346801663,0,1,0,0
hargrli99w,POR,3,16,16,0.5,0,0,5.0,0.15625,-1,0.3281198731269824,0,2,0,0
harveca99w,UTA,3,20,12,0.625,2,1,3.0,0.03125,0,0.7368033261407294,0,1,0,0
hugheda99w,CLE,3,10,22,0.3125,0,0,7.0,-0.375,-1,0.6093654786643958,4,2,1,0
laimbbi01w,DET,3,9,13,0.4090909090909091,0,0,8.0,0.09659090909090912,-1,0.5,0,0,0,0
mchugma99w,SAC,3,14,18,0.4375,0,0,6.0,-0.1875,-1,0.6999650017499125,3,1,0,0
rothsro99w,MIA,3,15,17,0.46875,0,0,6.0,-0.15625,-1,0.515616943485258,1,2,0,0
sharpli99w,PHO,3,5,17,0.22727272727272727,0,0,7.0,-0.17897727272727273,-1,0.5,0,0,0,0
stanlma99w,WAS,3,17,15,0.53125,3,1,3.0,0.21875,0,0.5,0,0,0,1
vandehe99w,MIN,3,4,9,0.3076923076923077,0,0,8.0,-0.06730769230769229,-1,0.5,0,0,0,0
