year,league_ppg,league_rpg,league_apg,league_spg,league_bpg,league_efficiency,league_mpg,league_player_rating
1,6.836590793021675,2.945890789341439,1.5446216323534503,0.8007118051293098,0.33371266988504567,10.943562223821969,20.1251971087866,18.225542125464287
2,6.368809162297727,3.00038464883749,1.452907564404673,0.7765804416666324,0.35794592757565524,10.52923972968196,19.688166088396514,18.291932483219867
3,6.685519724798645,3.020592212827863,1.5094308093646538,0.7701550243528007,0.3558087302705813,10.905714035061603,20.046185386197507,18.356873276591326
4,6.560607765916175,3.0233859858234644,1.4659789318296925,0.7202394136440591,0.3555733565278086,10.780667026648473,19.45847462988664,18.588705519963234
5,6.576288305031726,2.967241265142569,1.4970187680554519,0.7632650943945125,0.3645049460335224,10.771997844127686,19.947311961143185,18.315083374124633
6,6.457699244433117,2.871647464466044,1.47539613539918,0.7169405289554276,0.34355754689773876,10.475106723100376,19.734736565499368,17.670994610679113
7,7.145547376818877,3.1938474858185915,1.5621029797026624,0.7675427900594962,0.32896798536135496,11.572242388552134,19.360966071547683,20.36296541220512
8,7.559614834924099,3.373083806385523,1.6751652793086431,0.7970029687834568,0.3610873756347264,12.200634792466717,20.053035782069074,20.97762679552882
9,7.240842078945284,3.2973513748803076,1.524153209337488,0.7788575447360979,0.3919818637724716,11.801991744243765,19.301940869679346,20.93724172903231
10,7.734244980031917,3.37880504452864,1.6016297085726756,0.7993882358016287,0.3867847274226418,12.404335126047746,20.145014414830122,21.465848724382496
