playerID,award,year
thompti01w,All-Star Game Most Valuable Player,1
leslili01w,All-Star Game Most Valuable Player,2
leslili01w,All-Star Game Most Valuable Player,3
teaslni01w,All-Star Game Most Valuable Player,4
swoopsh01w,All-Star Game Most Valuable Player,6
douglka01w,All-Star Game Most Valuable Player,7
fordch01w,All-Star Game Most Valuable Player,8
cashsw01w,All-Star Game Most Valuable Player,10
coopemi01w,Coach of the Year,1
hugheda99w,Coach of the Year,2
stanlma99w,Coach of the Year,3
laimbbi01w,Coach of the Year,4
mcconsu01w,Coach of the Year,5
whisejo99w,Coach of the Year,6
thibami99w,Coach of the Year,7
hugheda99w,Coach of the Year,8
thibami99w,Coach of the Year,9
meadoma99w,Coach of the Year,10
swoopsh01w,Defensive Player of the Year,1
blackde01w,Defensive Player of the Year,2
swoopsh01w,Defensive Player of the Year,3
swoopsh01w,Defensive Player of the Year,4
leslili01w,Defensive Player of the Year,5
catchta01w,Defensive Player of the Year,6
catchta01w,Defensive Player of the Year,7
jacksla01w,Defensive Player of the Year,8
leslili01w,Defensive Player of the Year,9
catchta01w,Defensive Player of the Year,10
lawsoka01w,Kim Perrot Sportsmanship,10
mcconsu01w,Kim Perrot Sportsmanship Award,1
wickssu01w,Kim Perrot Sportsmanship Award,2
gilloje01w,Kim Perrot Sportsmanship Award,3
campbed01w,Kim Perrot Sportsmanship Award,4
edwarte01w,Kim Perrot Sportsmanship Award,5
mcwilta01w,Kim Perrot Sportsmanship Award,6
staleda01w,Kim Perrot Sportsmanship Award,7
beviltu01w,Kim Perrot Sportsmanship Award,8
johnsvi01w,Kim Perrot Sportsmanship Award,9
phillta01w,Most Improved Player,1
arcaija01w,Most Improved Player,2
milleco01w,Most Improved Player,3
snowmi01w,Most Improved Player,4
milleke01w,Most Improved Player,5
palmewe01w,Most Improved Player,5
mccarja01w,Most Improved Player,8
hoffmeb01w,Most Improved Player,9
langhcr01w,Most Improved Player,10
swoopsh01w,Most Valuable Player,1
leslili01w,Most Valuable Player,2
swoopsh01w,Most Valuable Player,3
jacksla01w,Most Valuable Player,4
leslili01w,Most Valuable Player,5
swoopsh01w,Most Valuable Player,6
leslili01w,Most Valuable Player,7
jacksla01w,Most Valuable Player,8
parkeca01w,Most Valuable Player,9
tauradi01w,Most Valuable Player,10
lennobe01w,Rookie of the Year,1
stileja01w,Rookie of the Year,2
catchta01w,Rookie of the Year,3
fordch01w,Rookie of the Year,4
tauradi01w,Rookie of the Year,5
johnste01w,Rookie of the Year,6
augusse01w,Rookie of the Year,7
pricear01w,Rookie of the Year,8
parkeca01w,Rookie of the Year,9
mccouan01w,Rookie of the Year,10
pierspl01w,Sixth Woman of the Year,8
wiggica01w,Sixth Woman of the Year,9
bonnede01w,Sixth Woman of the Year,10
coopecy01w,WNBA Finals Most Valuable Player,1
leslili01w,WNBA Finals Most Valuable Player,2
leslili01w,WNBA Finals Most Valuable Player,3
rileyru01w,WNBA Finals Most Valuable Player,4
lennobe01w,WNBA Finals Most Valuable Player,5
griffyo01w,WNBA Finals Most Valuable Player,6
nolande01w,WNBA Finals Most Valuable Player,7
pondeca01w,WNBA Finals Most Valuable Player,8
smithka01w,WNBA Finals Most Valuable Player,9
tauradi01w,WNBA Finals Most Valuable Player,10
birdsu01w,WNBA All-Decade Team,7
catchta01w,WNBA All-Decade Team,7
coopecy01w,WNBA All-Decade Team,7
griffyo01w,WNBA All-Decade Team,7
jacksla01w,WNBA All-Decade Team,7
leslili01w,WNBA All-Decade Team,7
smithka01w,WNBA All-Decade Team,7
staleda01w,WNBA All-Decade Team,7
swoopsh01w,WNBA All-Decade Team,7
thompti01w,WNBA All-Decade Team,7
boltoru01w,WNBA All Decade Team Honorable Mention,7
holdsch01w,WNBA All Decade Team Honorable Mention,7
penicti01w,WNBA All Decade Team Honorable Mention,7
tauradi01w,WNBA All Decade Team Honorable Mention,7
weathte01w,WNBA All Decade Team Honorable Mention,7
