bioID,college,collegeOther,pos,height_cm,weight_kg,birth_date,birth_year
abrahta01w,George_Washington,Unknown,C,187.96,86.18248,1975-09-27,1975.0
abrossv01w,Connecticut,Unknown,F,187.96,76.657048,1980-07-09,1980.0
adairje01w,George_Washington,Unknown,C,193.04,89.357624,1986-12-19,1986.0
adamsda01w,Texas_A&M,Jefferson_College_(JC),F,185.42000000000002,108.408488,1989-02-19,1989.0
adamsjo01w,New_Mexico,Unknown,C,190.5,81.64656,1981-05-24,1981.0
adamsmi01w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
adubari99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
aglerbr99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
aguilel01w,George_Washington,Unknown,G,170.18,74.84268,1976-10-15,1976.0
ajavoma01w,Rutgers,Unknown,G,172.72,72.57472,1986-05-07,1986.0
alberma01w,Ohio_State,Unknown,G,162.56,63.627089031240565,1975-04-12,1975.0
aldrima01w,UNC_Charlotte,Unknown,G,180.34,69.399576,1973-09-15,1973.0
alexaer01w,California-Santa_Barbara,Unknown,G,170.18,63.50288,1975-04-25,1975.0
alhalta01w,DePaul,Unknown,F,182.88,67.585208,1974-10-17,1974.0
allench01w,Notre_Dame,Unknown,G,180.34,61.23492,1986-07-23,1986.0
allenso99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
amachma01w,Unknown,Unknown,F,185.42000000000002,79.3786,1978-01-30,1978.0
ambermo01w,Arizona_State,Unknown,F,193.04,76.657048,1970-12-21,1970.0
anderam01w,Brigham_Young,Unknown,F,182.88,75.749864,1984-03-14,1984.0
anderch01w,Vanderbilt,Unknown,C,198.12,86.18248,1981-01-22,1981.0
anderjo01w,Wisconsin,Unknown,G,172.72,75.296272,1986-07-22,1986.0
anderke01w,Wisconsin,Unknown,G,170.18,56.699,1974-05-17,1974.0
andrame01w,Old_Dominion,Unknown,F,180.34,74.84268,1975-12-31,1975.0
angelyv01w,Ohio_State,Unknown,G,172.72,72.57472,1963-10-14,1963.0
anosini01w,Tennessee,Unknown,C,190.5,95.707912,1986-02-27,1986.0
appelja01w,Stanford,Unknown,C,193.04,95.25431999999999,1988-05-14,1988.0
arcaija01w,none,Unknown,G,180.34,66.678024,1969-04-11,1969.0
artiska01w,Northeastern,Unknown,F,185.42000000000002,70.30676,1973-07-09,1973.0
askamma01w,none,Unknown,C,195.58,89.811216,1970-08-07,1970.0
atkinla01w,North_Carolina,Unknown,G,182.88,78.017824,1984-03-22,1984.0
atunrmo01w,Texas_A&M,Unknown,G,177.8,64.863656,1986-04-14,1986.0
augusse01w,Louisiana_State,Unknown,F,182.88,81.192968,1984-04-30,1984.0
aycocan01w,Kansas,Unknown,G,187.96,78.017824,1973-02-28,1973.0
ayimmi01w,Pepperdine,Unknown,F,190.5,80.96255005964697,1988-05-06,1988.0
azizle01w,Syracuse,Unknown,F,190.5,80.28578399999999,1979-02-28,1979.0
azzije01w,Stanford,Unknown,G,172.72,64.863656,1968-08-31,1968.0
badertr01w,Boise_State,Unknown,G,162.56,56.699,1973-02-26,1973.0
bakerla01w,California,Unknown,G,170.18,63.50288,1968-12-18,1968.0
bakersh01w,Georgia,Unknown,G,172.72,56.699,1982-12-03,1982.0
balesal01w,Duke,Unknown,C,200.66,98.883056,1985-04-04,1985.0
banchrh01w,Washington,Unknown,C,190.5,83.91452,1973-05-01,1973.0
baranel01w,Academy_of_Sport_Moscow,Unknown,F,195.58,82.553744,1972-01-28,1972.0
barksla01w,North_Carolina,Unknown,G,177.8,70.760352,1979-10-03,1979.0
barnead01w,Arizona,Unknown,F,180.34,74.84268,1977-02-03,1977.0
barnequ01w,Indiana,Unknown,C,195.58,83.91452,1976-09-26,1976.0
bassmi01w,Duke,Unknown,F,190.5,83.460928,1983-12-02,1983.0
batkosu01w,Unknown,Unknown,C,193.04,92.079176,1980-12-17,1980.0
batteja01w,Notre_Dame,Unknown,F,185.42000000000002,73.935496,1983-03-26,1983.0
battlas01w,Connecticut,Unknown,F,182.88,77.11064,1982-05-31,1982.0
bauerca01w,Montana_State,Unknown,F,193.04,81.64656,1972-06-27,1972.0
beardal01w,Duke,Unknown,G,180.34,72.57472,1982-05-14,1982.0
becenry01w,Arizona_State,Scottsdale_CC_(JC),G,167.64000000000001,63.50288,1971-08-11,1971.0
beckan99wc,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
beckki01w,George_Washington,Unknown,G,172.72,56.699,1985-12-27,1985.0
bellje01w,Florida_International,Unknown,F,185.42000000000002,72.57472,1970-05-26,1970.0
bennije01w,Vanderbilt,Unknown,F,190.5,83.91452,1981-10-06,1981.0
berezva01w,Rice,Unknown,C,193.04,82.53850106222939,1986-04-10,1986.0
berggas01w,Illinois,Unknown,G,177.8,77.11064,1976-11-18,1976.0
berrysh01w,Iowa,Unknown,F,190.5,79.3786,1967-07-06,1967.0
berthlu01w,Old_Dominion,Unknown,F,187.96,85.275296,1978-03-31,1978.0
berubca01w,Connecticut,Unknown,F,182.88,70.30676,1975-09-02,1975.0
beviltu01w,Unknown,Unknown,G,170.18,65.77083999999999,1972-07-19,1972.0
bibbyhe01w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
bibbyje01w,Unknown,Unknown,G,170.18,63.049288,1979-08-23,1979.0
bibrzag01w,Unknown,Unknown,G,187.96,76.203456,1982-10-21,1982.0
birdsu01w,Connecticut,Unknown,G,175.26,68.0388,1980-10-16,1980.0
bishoab01w,Unknown,Unknown,F,187.96,79.38659905706457,1988-11-29,1988.0
bjedoni01w,Unknown,Unknown,C,198.12,88.45044,1971-05-18,1971.0
bjorkan01w,Tennessee,Unknown,F,182.88,75.296272,1989-07-14,1989.0
bjorkte01w,Colorado,Unknown,C,193.04,79.3786,1982-06-29,1982.0
blackch01w,Duke,Unknown,C,195.58,85.275296,1985-11-12,1985.0
blackde01w,St._Joseph's,Unknown,G,160.02,56.245408,1966-07-29,1966.0
bladerh01w,Vanderbilt,Unknown,G,170.18,62.595696,1972-10-29,1972.0
blodgci01w,Maine,Unknown,G,175.26,58.96696,1975-12-23,1975.0
blueni01w,UCLA,Unknown,G,172.72,73.935496,1984-03-29,1984.0
blueoc01w,Miami_(FL),Unknown,F,185.42000000000002,73.935496,1976-08-18,1976.0
bobbish01w,Tennessee,Unknown,G,157.48,58.96696,1985-12-06,1985.0
boddiwh01w,Auburn,Unknown,G,175.26,67.585208,1987-01-23,1987.0
boguemu01w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
boldeba01w,Louisiana_Tech,Unknown,G,187.96,81.64656,1969-06-16,1969.0
