year,round,series,tmIDWinner,tmIDLoser,lgIDLoser,W,L
1,FR,A,CLE,ORL,WNBA,2,1
1,FR,B,NYL,WAS,WNBA,2,0
1,FR,C,LAS,PHO,WNBA,2,0
1,FR,D,HOU,SAC,WNBA,2,0
1,CF,E,HOU,LAS,WNBA,2,0
1,CF,F,NYL,CLE,WNBA,2,1
1,F,G,HOU,NYL,WNBA,2,0
2,FR,A,CHA,CLE,WNBA,2,1
2,FR,B,NYL,MIA,WNBA,2,1
2,FR,C,LAS,HOU,WNBA,2,0
2,FR,D,SAC,UTA,WNBA,2,0
2,CF,E,CHA,NYL,WNBA,2,1
2,CF,F,LAS,SAC,WNBA,2,1
2,F,G,LAS,CHA,WNBA,2,0
3,FR,A,NYL,IND,WNBA,2,1
3,FR,B,WAS,CHA,WNBA,2,0
3,FR,C,LAS,SEA,WNBA,2,0
3,FR,D,UTA,HOU,WNBA,2,1
3,CF,E,NYL,WAS,WNBA,2,1
3,CF,F,LAS,UTA,WNBA,2,0
3,F,G,LAS,NYL,WNBA,2,0
4,FR,A,DET,CLE,WNBA,2,1
4,FR,B,CON,CHA,WNBA,2,0
4,FR,C,LAS,MIN,WNBA,2,1
4,FR,D,SAC,HOU,WNBA,2,1
4,CF,E,DET,CON,WNBA,2,0
4,CF,F,LAS,SAC,WNBA,2,1
4,F,G,DET,LAS,WNBA,2,1
5,FR,A,CON,WAS,WNBA,2,1
5,FR,B,NYL,DET,WNBA,2,1
5,FR,C,SEA,MIN,WNBA,2,0
5,FR,D,SAC,LAS,WNBA,2,1
5,CF,E,CON,NYL,WNBA,2,0
5,CF,F,SEA,SAC,WNBA,2,1
5,F,G,SEA,CON,WNBA,2,1
6,FR,A,CON,DET,WNBA,2,0
6,FR,B,IND,NYL,WNBA,2,0
6,FR,C,HOU,SEA,WNBA,2,1
6,FR,D,SAC,LAS,WNBA,2,0
6,CF,E,CON,IND,WNBA,2,0
6,CF,F,SAC,HOU,WNBA,2,0
6,F,G,SAC,CON,WNBA,3,1
7,FR,A,DET,IND,WNBA,2,0
7,FR,B,CON,WAS,WNBA,2,0
7,FR,C,LAS,SEA,WNBA,2,1
7,FR,D,SAC,HOU,WNBA,2,0
7,CF,E,DET,CON,WNBA,2,1
7,CF,F,SAC,LAS,WNBA,2,0
7,F,G,DET,SAC,WNBA,3,2
8,FR,A,DET,NYL,WNBA,2,1
8,FR,B,IND,CON,WNBA,2,1
8,FR,C,PHO,SEA,WNBA,2,0
8,FR,D,SAS,SAC,WNBA,2,1
8,CF,E,DET,IND,WNBA,2,1
8,CF,F,PHO,SAS,WNBA,2,0
8,F,G,PHO,DET,WNBA,3,2
9,FR,A,SAS,SAC,WNBA,2,1
9,FR,B,LAS,SEA,WNBA,2,1
9,FR,C,DET,IND,WNBA,2,1
9,FR,D,NYL,CON,WNBA,2,1
9,CF,E,SAS,LAS,WNBA,2,1
9,CF,F,DET,NYL,WNBA,2,1
9,F,G,DET,SAS,WNBA,3,0
10,FR,A,PHO,SAS,WNBA,2,1
10,FR,B,LAS,SEA,WNBA,2,1
10,FR,C,IND,WAS,WNBA,2,0
10,FR,D,DET,ATL,WNBA,2,0
10,CF,E,PHO,LAS,WNBA,2,1
10,CF,F,IND,DET,WNBA,2,1
10,F,G,PHO,IND,WNBA,3,2
