year,tmID,coachID,win_ratio,prev_win_ratio,win_ratio_change,rank,prev_rank,rank_change,playoff,prev_playoff,playoff_miss,rolling_win_ratio_3yr,playoff_miss_streak,years_with_team,expectation_gap,team_stability_index,coach_changed_next_year
5,WAS,adamsmi01w,0.5,0.2647058823529412,0.23529411764705882,4,7.0,3.0,Y,N,0,0.431985294117647,0,1,0.06801470588235298,1.0,1
2,NYL,adubari99w,0.65625,0.625,0.03125,2,1.0,-1.0,Y,Y,0,0.65625,0,1,0.0,0.0,0
3,NYL,adubari99w,0.5625,0.65625,-0.09375,1,2.0,1.0,Y,Y,0,0.609375,0,2,-0.046875,0.0,0
4,NYL,adubari99w,0.47058823529411764,0.5625,-0.09191176470588236,6,1.0,-5.0,N,Y,1,0.5631127450980392,1,3,-0.09252450980392157,0.0,0
5,NYL,adubari99w,0.4375,0.47058823529411764,-0.03308823529411764,2,6.0,4.0,Y,N,0,0.4901960784313726,0,4,-0.052696078431372584,0.3333333333333333,1
6,WAS,adubari99w,0.47058823529411764,0.5,-0.02941176470588236,5,4.0,-1.0,N,Y,1,0.411764705882353,1,1,0.05882352941176466,0.5,0
7,WAS,adubari99w,0.5294117647058824,0.47058823529411764,0.05882352941176472,4,5.0,1.0,Y,N,0,0.5,0,2,0.02941176470588236,0.3333333333333333,0
8,WAS,adubari99w,0.0,0.5294117647058824,-0.5294117647058824,5,4.0,-1.0,N,Y,1,0.3333333333333333,1,3,-0.3333333333333333,0.3333333333333333,1
2,MIN,aglerbr99w,0.375,0.46875,-0.09375,6,6.0,0.0,N,N,0,0.375,1,1,0.0,0.0,0
3,MIN,aglerbr99w,0.3157894736842105,0.375,-0.05921052631578949,8,6.0,-2.0,N,N,0,0.34539473684210525,2,2,-0.029605263157894746,0.5,1
9,SEA,aglerbr99w,0.6470588235294118,0.5,0.1470588235294118,2,4.0,2.0,Y,Y,0,0.5588235294117646,0,1,0.08823529411764719,0.0,0
10,SEA,aglerbr99w,0.5882352941176471,0.6470588235294118,-0.05882352941176472,2,2.0,0.0,Y,Y,0,0.5784313725490197,0,2,0.009803921568627416,0.5,1
2,SAC,allenso99w,0.5,0.65625,-0.15625,2,3.0,1.0,Y,Y,0,0.5,0,1,0.0,1.0,1
6,LAS,bibbyhe01w,0.4642857142857143,0.7857142857142857,-0.3214285714285714,4,1.0,-3.0,Y,Y,0,0.6785714285714285,0,1,-0.2142857142857142,1.0,1
6,CHA,boguemu01w,0.3,0.47058823529411764,-0.17058823529411765,6,5.0,-1.0,N,N,0,0.43333333333333335,2,1,-0.13333333333333336,1.0,1
7,CHA,boguemu01w,0.3235294117647059,0.125,0.1985294117647059,6,6.0,0.0,N,N,0,0.24950980392156863,4,2,0.07401960784313727,1.0,1
8,SAC,bouceje01w,0.5588235294117647,0.6176470588235294,-0.05882352941176472,3,2.0,-1.0,Y,Y,0,0.6372549019607844,0,1,-0.07843137254901966,0.5,0
